文件名,作品名称,作者,美感类型,优势度评分,愉悦度评分,唤醒度评分
3.8_s220.jpg,李照东_在河之洲_970mm×450mm,李照东,4,4.9,4.45,5.2
3.8_s69.jpg,梅花图,吴昌硕,3,5.85,5.9,5.15
3.85_l187.jpg,《空山结屋图》清 查士标 纸本设色 纵98.7厘米 横53.3厘米 北京故宫博物院藏,查士标,2,5.2,4.6,5.05
3.85_l234.jpg,方召麐_山中无历日1987年80cm×70cm,方召麐,3,6.2,6.4,5.8
3.85_l72.jpg,柏鹿图,沈铨,3,5,5.65,3.4
3.85_s109.jpg,百战归马图,徐悲鸿,3,3.55,4.45,3.45
3.85_s124.jpg,荷映月,陈湘波,4,5.9,5.45,5.25
3.85_s180n.jpg,周鹏飞_渔翁溪岸__52cm×48cm,周鹏飞,2,4.25,3.95,5.05
3.85_s65.jpg,宝吉骝图,艾启蒙,3,6.2,6,5.45
3.85_s73.jpg,荷花鲤鱼,张建军,3,5.85,6.1,5.2
3.85_s74.jpg,牡丹图,曹用平,3,5.2,4.6,4.75
3.9_l195.jpg,溪山秋色 宋徽宗（赵佶）【宋朝】,宋徽宗 赵佶,1,5.9,5.7,4.75
3.9_l69.jpg,石榴秋葵图,李鱓,4,6.6,6.25,5.4
3.9_l95.jpg,双燕,吴冠中,2,5.8,6.05,5.1
3.9_s135.jpg,四条屏-4,陈半丁,4,6.7,6.8,5.3
3.9_s176o.jpg,明馬軾春塢村居圖　軸,,1,5.35,5.1,5.1
3.95_l125.jpg,秋江昨晚泊,陆俨少,1,5.35,5.45,5
3.95_l134.jpg,仿刘松年松泉图,陈少梅,1,7.05,7,6
3.95_l25.jpg,孤猿叫雪图,高奇峰,3,5.9,6.1,5.5
3.95_l85.jpg,仿古山水册299,恽寿平,2,5.5,5.45,4.2
3.95_s161n.jpg,八大山人_芙蓉湖石图扇面,八大山人,4,6.05,5.9,5.6
3.95_s57.jpg,杏花图,赵昌,4,6,6.05,5.7
3.95_s97.jpg,春,吴冠中,3,5.55,5.65,5.3
3_l19.jpg,玉堂富贵图,陆恢,3,4.85,4.9,3.75
3_l197.jpg,八大山人_山水花果册（十开选一）,八大山人,5,6.1,6.7,4.7
3_l272.jpg,萧云从_山水图册-5.jpg,萧云从,2,6.1,6.25,5.1
3_l31.jpg,寒鸦图,佚名,2,5.7,6.5,5.2
3_l35.jpg,山桃锦鸡图,王渊,4,6,5.7,4.8
3_s150n.jpg,八大山人_个山人屋花卉册（十一开）30.3×30.3cm-3,八大山人,4,4,3.75,4.75
3_s159o.jpg,明文徵明蕉陰仕女圖　軸.jpg,,4,5.9,5.3,5.65
3_s212.jpg,曹明冉_笔随神游化春风_云淡欲遮月，箫笛暗飞声。落笔随心走，墨韵化春风。戊子八月__明冉,曹明冉,4,6.05,6.25,5.55
4.05_l182.jpg,《溪山无尽图》清 龚贤 纸本水墨 纵27.4厘米 横725厘米 北京故宫博物院藏,龚贤,1,4.2,4.75,3.95
4.05_l232.jpg,方召麐_壮丽山河__1981年,方召麐,1,5.4,5.65,4.5
4.05_l276.jpg,萧云从_设色山水册1653年23.7×14.7cm-2,萧云从,1,4.95,4.9,4.15
4.05_l4.jpg,山水十开-7,查士标,1,6.05,5.75,5.35
4.05_l66.jpg,清明上河图,仇英,3,5.85,5.25,5.35
4.05_s142.jpg,爱莲图,陈葆棣,3,4.65,4.95,4.65
4.05_s29.jpg,双马图,高奇峰,3,6.25,6.2,5.25
4.05_s52.jpg,竹,孙克弘,4,6.05,5.9,5.5
4.1_l176.jpg,《幽涧鸣泉图》明 恽向 纸本墨笔 纵214厘米 横90.5厘米, 恽向,1,5.55,5.75,5.45
4.1_l20.jpg,南溪春晓图,马元驭,3,4.6,5.05,3.95
4.1_l203.jpg,关山月_漓江烟雨1961年95×52cm,关山月,2,3.9,4.95,3.7
4.1_l264.jpg,石鲁_春满秦岭_1962年_200×70cm,石鲁,1,6.2,6.1,4.35
4.1_l48.jpg,山水,陈师曾,2,4.65,5.05,4.35
4.1_s126.jpg,觅,陈湘波,3,7.45,6.7,4.9
4.1_s157o.jpg,明唐寅臨水芙蓉圖　軸,,4,5.45,5.3,5.65
4.1_s196.jpg,孙其峰_蔷薇蘸水笋穿篱_1995年,孙其峰,3,6.15,5.35,5.45
4.1_s21.jpg,荔枝图,吴昌硕,3,5.1,4.6,5.6
4.15_l10.jpg,山情,郭明堂,3,5.05,5.05,4.3
4.15_l108.jpg,山水图,宋文治,2,6.1,5.35,5.55
4.15_l129.jpg, 青绿山水图,陆俨少,1,5.7,5.75,4.1
4.15_l32.jpg,雪树寒禽图,李迪,5,5.7,6.05,4.6
4.15_l39.jpg,水凫鹥图,任仁发,3,5,4.65,4.85
4.15_s150o.jpg,元李士行喬松竹石　軸,,5,6.2,6.8,6
4.2_l100.jpg,白首忆童年,吴冠中,3,4.55,4.25,4.9
4.2_l113.jpg,西湖,林凤眠,3,6.35,6.5,5.75
4.2_s132.jpg,荷花-4, 韩天衡,3,5.9,5.45,5.1
4.2_s137.jpg,蔷薇花图轴,陈半丁,4,5.55,6.1,4.75
4.2_s86.jpg,荷花图,谢荪,4,6,6.05,4.5
4.25_l111.jpg,沧浪渔笛图,张大千,2,5.9,5.95,4.9
4.25_l172.jpg,《山水兰竹图册》明 项圣谟 纸本墨笔 12开 每开纵25.2厘米 横24.6厘米, 项圣谟,1,4.25,4.15,4.35
4.25_l240.jpg,方召麐_真魂1987年138cm×70cm,方召麐,1,6.4,5.9,5.4
4.25_l284.jpg,赵望云_峪口人家1977年67×33.5cm,赵望云,1,3.25,3.7,4
4.25_l52.jpg,双猫窥鱼图,程璋,3,6.25,5.75,5.8
4.25_s18.jpg,枯荷鸳鸯图,张中,3,6.3,6.25,6.05
4.3_l101.jpg,花港观鱼,吴冠中,3,6.15,6.35,5.1
4.3_l170.jpg,《山居图》 北宋　巨然　绢本墨笔　纵67.5厘米 横40.5厘米 日本阪斋藤氏董藏,巨然,1,5.3,4.7,5.2
4.3_l185.jpg,《秋山问道图》 北宋 巨然 绢本墨笔 纵165.2厘米 横77.2厘米 台北故宫博物院藏,北宋 ,1,5.9,5.55,5.25
4.3_l242.jpg,方召麐_自然和谐__94×83cm__1986年,方召麐,3,6.45,5.95,5.1
4.3_l252.jpg,李照东_清远舟中写生__45×63cm__2006年,李照东,1,4.55,4.85,3.6
4.3_s138.jpg,博古四屏1,陈葆棣,4,6.3,6.25,5.5
4.35_l11.jpg,春在田间,何海霞,3,5.8,5.8,4.85
4.35_l215.jpg,戴本孝_华山图册_(十二开之三)_1668年__21.2×16,戴本孝,1,6.05,5.85,5.35
4.35_l67.jpg,鸡菊图,陈师曾,3,5.65,5.05,6.25
4.35_s112.jpg,花鸟作品大图 (29) ,李晓明,3,6.85,6.7,5.6
4.35_s171o.jpg,明陸治松芝　軸.jpg,,4,4.35,4.7,3.35
4.35_s210.jpg,曹明冉_点醒梦里兰花丛_空谷幽芳隐啼鸟，又来溪泉一缕风。再借砚边点滴墨，点醒梦里兰花丛。明冉於北京,曹明冉,4,4.7,4.95,3.9
4.35_s225.jpg,王森然_棕树雄鸡_1980年_131×67cm,王森然,3,6.45,6.45,4.75
4.35_s233.jpg,苏百钧_紫鸦花__58×40cm__纸本__2008年,苏百钧,3,4.95,5,3.8
4.35_s235.jpg,郑闻慧__水仙__1989年__北京__闻慧画，黄胄修改并题款,郑闻慧,3,5.4,5.25,5.85
4.4_l206.jpg,刘彦水_一七二_群峰列嶂,刘彦水,1,6.9,6.3,5.9
4.4_l233.jpg,方召麐_安乐__138×97cm__1996年,方召麐,3,4.45,5.1,4.2
4.4_s15.jpg,瓦雀栖枝图,佚名,3,6.05,6.05,5.35
4.4_s58.jpg,固安小红果,常沙娜,3,6.5,6.9,5.35
4.45_s189.jpg,孙其峰_凝神_1981年.jpg,孙其峰,3,5.1,4.85,4.75
4.5_l202.jpg,关山月_源流颂___l980年__142×305cm,关山月,1,4.55,4.25,5.2
4.5_s178o.jpg,松猿 溥心畬,,3,5.55,5.95,5.4
4.5_s22.jpg,日长如小年,徐悲鸿,3,6.65,5.95,5.9
4.55_l114.jpg,黄山山水,董寿平,1,6.25,6.3,5.9
4.55_l55.jpg,黄河禹门口,何海霞,1,4.75,5.2,3.65
4.55_l68.jpg,鸳鸯白鹭图,王武,3,6.2,6.45,5.25
4.55_l74.jpg,山水册页八开-0,傅廷煦,1,5.95,5.55,6
4.55_s113.jpg,李晓明花鸟作品大图 (14),李晓明,3,6.2,6.1,5.7
4.55_s123.jpg,荷塘惊艳,陈湘波,4,5.9,5.65,5.3
4.55_s54.jpg,荷花图,陈洪绶,4,4.65,6,3.5
4.6_l104.jpg,冬日,吴冠中,3,6.1,5.95,5.65
4.6_l60.jpg,雨季,林容生,2,5.65,5.45,5.9
4.6_s17.jpg,春溪水族图,陈可九,3,5.75,5.8,4.1
4.6_s185o.jpg,雙馬 溥心畬.jpg,,3,4.5,5.95,3.6
4.6_s186n.jpg,周鹏飞_蕉阴藏菊图_360cm×147cm,周鹏飞,3,6.3,5.5,5.15
4.6_s78.jpg,甌香館寫生冊 枇杷,惲壽平,3,4.65,5.7,3.5
4.65_l207.jpg,刘彦水_一二三_翠崖叠（山献）,刘彦水,1,5.5,5.35,4.75
4.65_s111.jpg,晚秋喜鹊图,徐悲鸿,3,6.8,6.85,5.6
4.65_s133.jpg,暖风图,郎森,3,5.3,5.2,5.35
4.7_l57.jpg,枯树小虫,居廉,3,5.95,6.15,4.65
4.7_s167n.jpg,刘奎龄_佳侣图扇1940年,刘奎龄,3,6.1,6.3,5
4.7_s9.jpg,岭南春色图,陈树人,3,5.45,5.55,5.75
4.7_s92.jpg,红白茶花轴,于非音,4,6,5.8,5.95
4.75_l201.jpg,关山月_山雨欲来1962年134×87cm,关山月,1,5.95,6,5.65
4.75_l282.jpg,赵望云_五原之春_1959年35×47cm,赵望云,3,6.25,5.95,5.9
4.75_s170n.jpg,刘奎龄_暂戢凌霄翼.jpg,刘奎龄,3,6.45,6.8,4.5
4.75_s224.jpg,王森然_松鹰__1980年__240×560cm__陈列于人民大会堂,王森然,3,5.95,6.15,5.35
4.75_s24.jpg,献果,齐白石,3,7,7.05,6.25
4.8_l16.jpg,城市风景,李平凡,3,6.65,6.65,5.9
4.8_l17.jpg,红树下,李平凡,3,5.7,5.8,4.95
4.8_l208.jpg,刘彦水_一二二_渔乐图,刘彦水,1,6.3,6.75,5.35
4.8_s211.jpg,曹明冉_瑞气绕堂颂太平×110×220cm,曹明冉,3,5.9,6.1,5.95
4.8_s231.jpg,苏百钧_暮韵__140×174cm__绢本__1992年,苏百钧,3,4.55,5.15,3.55
4.85_l236.jpg,方召麐_山河颂1977年143cm×360cm,方召麐,1,6.45,6.25,4.65
4.85_s108.jpg,双喜轴,徐悲鸿,3,5.3,5.55,4.6
4.85_s141.jpg,博古四屏4,陈葆棣,4,5.25,6,4.9
4.9_l54.jpg,雨霁,何海霞,1,7,6.55,5.55
4.9_s166n.jpg,刘奎龄_云飞月暗图扇___1938年,刘奎龄,3,7,7.15,5.6
4.95_s228.jpg,苏百钧_圣诞花与小鸟_右__90×248cm__纸本__2006年,苏百钧,3,6.55,6.85,5.9
4.95_s87.jpg,仿崔白梅竹双清图轴,于非音,3,4.45,5.05,3.55
4_l127.jpg,蒙象册5,陆俨少,1,6.8,7.2,5.75
4_l190.jpg,《青绿山水图》明 张宏 绢本设色 纵130.3厘米 横63.1厘米 上海博物馆藏,张宏,1,6,5.7,5
4_l219.jpg,戴本孝_山色泉声图_1690年_168x50cm,戴本孝,1,6.15,6.1,4.5
4_l46.jpg,桃潭浴鸭图,华喦,3,5.9,5.55,5.2
4_l50.jpg,雨后,陈树人,3,5.2,5.15,5.7
4_l78.jpg,画山水人物册66-67,唐寅,2,4.85,5.5,3.5
4_l9.jpg,乾隆洗象图,丁观鹏,4,5.4,6.1,4.4
4_s10.jpg,花卉山水合册2,恽寿平,4,6.8,6.8,5.8
4_s4.jpg,大荷花立轴,梁斌,4,6.6,6.3,6
5.05_l283.jpg,赵望云_山区小学1959年,赵望云,1,6.45,6.4,5
5.05_l64.jpg,根深叶茂,苗重安,1,6.8,6.75,5.65
5.05_s230.jpg,苏百钧_归途__146×178cm__绢本__1993年,苏百钧,3,6.8,7.4,4.7
5.1_l257.jpg,李照东_谢灵运诗意__193×253cm__2006年,李照东,1,5.6,6.35,4.3
5.1_s128.jpg,冬, 韩天衡,3,5.25,4.6,4.95
5.1_s168n.jpg,刘奎龄_吉祥富贵1928年120.5×37cm,刘奎龄,3,6.45,6.1,5.9
5.15_l119.jpg,雨季-1,陆俨少,1,6.7,6.8,5.55
5.15_l209.jpg,刘彦水_七十一_太行深处壁千仞_,刘彦水,1,7.3,6.95,5.75
5.15_s229.jpg,苏百钧_姜花_148×183cm_绢本_2007年,苏百钧,3,6.2,6.6,6.25
5.2_l112.jpg,楚峰烟云,张孝友,1,6.1,6.05,4
5.2_l62.jpg,雪网山痕皆自然2,刘国松,1,5.5,5.75,3.75
5.2_s6.jpg,新苗,吴冠中,3,6.6,6.85,4.9
5.25_s171n.jpg,刘奎龄_鸳鸯比翼1928年120.5×37cm,刘奎龄,3,4.65,5.3,3.7
5.25_s172o.jpg,明陸治歲朝圖　軸,,4,6.4,6.75,5.85
5.3_l109.jpg,黄山文笔生花峰,张大千,1,5.8,6.15,5.45
5.3_l166.jpg,《万山苍翠图》清 高岑,高岑,1,4.6,5.45,3.75
5.3_l63.jpg,红荷翠羽,刘海粟,3,5.7,6.35,4.15
5.3_s169n.jpg,刘奎龄_吉羊神猿1939年101.5×33cm,刘奎龄,3,6.85,6.45,5.25
5.35_l177.jpg,《明皇避暑宫图》 北宋 郭忠恕 绢本墨笔 纵161.5 横105.6厘米 日本大阪国立美术馆藏,郭忠恕,1,5.85,5.75,4.35
5.35_l271.jpg,萧云从_山水册(之一)___27.9×20.9cm,萧云从,1,4.2,5.2,3.45
5.4_s175n.jpg,周鹏飞_因趣得清兴_360cm×147cm,周鹏飞,3,5.55,6.1,5.4
5.45_s3.jpg,八骏图,郎世宁,3,6.6,6.3,5.7
5.5_l253.jpg,李照东_石小石林写生__32×46cm__2006年,李照东,1,4.75,4.2,4.6
5.5_s63.jpg,向日葵,常沙娜,3,5.05,5.1,4
5.55_s197.jpg,孙其峰_野趣_1991年,孙其峰,3,5.4,6.05,4.65
5.55_s238.jpg,郑闻慧__黍葵花1__1979年__喀什,郑闻慧,3,6.75,6.9,5.35
5.6_s129.jpg,春, 韩天衡,3,6.6,7.1,5.5
5.65_l117.jpg,松崖谈道图轴,郑昶,1,5.3,5.4,3.8
5.7_s2.jpg,花阴双鹤图,郎世宁,3,5.8,6.65,4
5.7_s215.jpg,曹明冉_谷雨初放牡丹花__97×97cm__,曹明冉,3,5.65,5.6,5.7
5.7_s7.jpg,三鹅,吴冠中,3,7,6.6,5.7
5.8_l115.jpg,桃花枝上,董希源,1,4.4,5.05,3.55
5.8_s118.jpg,东篱清韵,邹传安,3,6.5,6.9,6.1
5.85_l12.jpg,公社假日,林风谷,3,6.4,6.25,5.95
5.85_l180.jpg,《洞天山堂图》 金 佚名 绢本设色 纵183.2厘米 横121.2厘米 台北故宫博物院藏, 佚名,1,6.3,6.2,5.9
5.85_s139.jpg,博古四屏2,陈葆棣,4,6.6,7,5.6
5.85_s96.jpg,野果,吴冠中,3,6.1,6.15,4.45
5.9_s182o.jpg,遼蕭瀜畫花鳥　軸,,3,6.5,6.75,5.65
5.9_s72.jpg,花好月圆,张建军,3,6.6,6.7,5.95
5.95_s181o.jpg,石榴竹鳥（與陳雋甫合繪）吳詠香,,3,6.3,6.35,5.8
5_l107.jpg,云表奇峥,吴湖帆,1,6.7,7.35,4.7
5_l13.jpg,杏花锦鸡图, 周之冕,3,7.05,6.9,5.9
5_l211.jpg,刘彦水_五十二_苍山红树图,刘彦水,1,7.25,7.65,5.5
5_l92.jpg,移居图,葛稚川,1,4.75,5.85,3.7
5_s140.jpg,博古四屏3,陈葆棣,4,5.15,4.85,5.85
5_s147.jpg,荷花鸳鸯,齐白石,3,6.1,6.7,5.9
5_s59.jpg,花卉,常沙娜,3,6.55,6.3,5.4
5_s62.jpg,仙人掌,常沙娜,3,6.8,6.55,6.2
5_s83.jpg,甌香館寫生冊 碧海珊瑚,惲壽平,3,6.55,6.5,5.7
6.05_s127.jpg,芭蕉翠鸟,陈湘波,3,6.65,6.35,5.5
6.1_l192.jpg,《黄山图轴》清 梅清 纸本 纵20.8厘米 横38.2厘米 北京故宫博物院藏,梅清,1,6.95,7.2,6
6.15_s190.jpg,孙其峰_守梅图_2000年,孙其峰,3,5.05,5.15,3.8
6.15_s88.jpg,四喜图轴,于非音,3,6.85,7,5.7
6.2_l110.jpg,青城南望,张大千,1,7.15,6.85,6.65
6.2_l56.jpg,云岩观瀑,黄君璧,1,5.85,6.35,4.6
6.2_s101.jpg,梨花锦鸡图轴,喻继高,3,5.95,5.95,4.55
6.25_l131.jpg,飞瀑雷鸣, 黄君壁,1,6.45,6.95,5.75
6.3_s100.jpg,九鲤图轴,吴青霞,3,6.05,6.4,4.15
6.35_s93.jpg,春眠不觉哓,刘菊清,3,6.45,6.35,5.7
6.45_s119.jpg,春酣,邹传安,3,7,6.8,6.15
6.55_s61.jpg,康乃馨,常沙娜,3,6.85,6.65,6
6.6_l51.jpg,鸣喜图,陈之佛,3,6.8,6.95,6.65
6.6_s144.jpg,花卉草虫小品_四屏2,陈葆棣,3,6.5,6.65,5.4
6.85_l116.jpg,黄山写真,董希源,1,7.25,7.15,6.85
6.85_s116.jpg,红荷花,董希源 ,3,6.1,7.05,4.7
6.9_l94.jpg,书画07-N,傅抱石,1,7.15,6.9,5.8
6_s236.jpg,郑闻慧__竹节海棠2__1982年__北京,郑闻慧,3,5.55,6.45,3.65
7.05_l191.jpg,《青绿山水图》高岑 立轴绢本,高岑,1,6.15,6.5,4.05
7.1_s193.jpg,孙其峰_溪上春色_1999年,孙其峰,3,6.85,6.8,6
7.35_s114.jpg,八骏图,胡成荣,3,6.8,6.85,6.05
l14.jpg,,,,,,
l210.jpg,,,,,,
l224.jpg,,,,,,
l228.jpg,,,,,,
l275.jpg,,,,,,
l45.jpg,,,,,,
s106.jpg,,,,,,
s122.jpg,,,,,,
s146.jpg,,,,,,
s168o.jpg,,,,,,
s173n.jpg,,,,,,
s178n.jpg,,,,,,
s181n.jpg,,,,,,
s98.jpg,,,,,,
